feature,importance
gray_min,0.11418862487595276
green_min,0.08426528578818238
red_min,0.06849148267175914
blue_std,0.06070372974540959
value_std,0.044300130796280285
hue_std,0.040632349439079174
red_std,0.040371881288861794
green_std,0.030260732380075782
gray_hist_bin_12,0.029806301740754812
gray_hist_bin_02,0.029684713707391123
blue_min,0.029613677163827203
gradient_max,0.028356868654206495
gray_hist_bin_01,0.025870106586619836
gray_p25,0.02242884085046815
gray_std,0.02053927914176175
gray_p05,0.020106082610055614
green_mean,0.01959928523137027
gray_hist_bin_09,0.019335406194720357
blue_mean,0.01759947222718394
gray_entropy,0.015423110975758256
gray_hist_bin_03,0.015329192334283865
gray_mean,0.014678927773276385
value_mean,0.01407947909237355
red_mean,0.013659725804833057
hue_mean,0.01258305008662626
gray_hist_bin_05,0.0124514312320501
gradient_mean,0.011937966878482552
gray_hist_bin_14,0.01164317166621861
edge_density,0.011376291257143116
gray_hist_bin_08,0.011203199852659614
gray_hist_bin_04,0.010954684733290336
laplacian_var,0.010412181210280815
gray_hist_bin_15,0.00950140657313922
gray_hist_bin_11,0.009396850859802103
gradient_std,0.009341368961547756
gray_hist_bin_10,0.009128024690945376
gray_hist_bin_07,0.009038711175297155
saturation_mean,0.008833863913707416
saturation_std,0.008773733968666424
gray_hist_bin_13,0.008289863811475163
gray_p50,0.00791968269291232
gray_hist_bin_06,0.007889829361270157
blue_max,0.0
red_max,0.0
green_max,0.0
gray_max,0.0
gray_p75,0.0
gray_p95,0.0
gray_hist_bin_00,0.0
